Time,User,Target
29,1564.5681,1080.0
46,1564.5681,1077.0
56,1564.5681,1074.0
72,1565.05,1071.0
86,1564.5681,1068.0
100,1564.5681,1065.0
115,1565.05,1062.0
130,1564.5681,1059.0
142,1565.05,1056.0
156,1565.05,1053.0
172,1565.05,1050.0
182,1565.05,1047.0
201,1564.5681,1044.0
214,1565.05,1041.0
224,1564.5681,1038.0
242,1565.05,1035.0
251,1565.05,1032.0
264,1565.05,1029.0
279,1564.5681,1026.0
291,1565.05,1023.0
308,1564.5681,1020.0
322,1565.05,1017.0
337,1564.5681,1014.0
352,1565.05,1011.0
367,1565.05,1008.0
385,1565.05,1005.0
402,1564.5681,1002.0
416,1565.05,999.0
434,1565.05,996.0
449,1565.05,993.0
462,1565.05,990.0
477,1564.5681,987.0
487,1565.05,984.0
498,1565.05,981.0
513,1565.05,978.0
522,1564.5681,975.0
539,1564.5681,972.0
551,1564.5681,969.0
567,1565.05,966.0
583,1564.5681,963.0
596,1565.05,960.0
612,1564.086,957.0
623,1564.5681,954.0
635,1564.5681,951.0
648,1565.05,948.0
659,1565.05,945.0
676,1565.05,942.0
688,1564.5681,939.0
705,1565.05,936.0
717,1564.5681,933.0
732,1564.5681,930.0
746,1564.5681,927.0
761,1564.5681,924.0
776,1565.05,921.0
786,1564.5681,918.0
796,1565.05,915.0
816,1565.05,912.0
825,1565.05,909.0
838,1564.5681,906.0
846,1565.05,903.0
862,1565.05,900.0
879,1564.5681,897.0
892,1565.05,894.0
909,1565.05,891.0
923,1565.05,888.0
938,1565.05,885.0
950,1565.05,882.0
966,1565.532,879.0
983,1565.05,876.0
1000,1565.05,873.0
1015,1565.05,870.0
1024,1564.5681,867.0
1039,1565.05,864.0
1050,1564.5681,861.0
1064,1565.05,858.0
1083,1565.05,855.0
1095,1565.05,852.0
1108,1564.5681,849.0
1118,1565.05,846.0
1135,1564.5681,843.0
1153,1564.5681,840.0
1169,1565.05,837.0
1179,1565.05,834.0
1188,1565.05,831.0
1199,1565.05,828.0
1220,1565.05,825.0
1249,1565.05,822.0
1273,1564.5681,819.0
1286,1564.5681,816.0
1296,1564.5681,813.0
1316,1564.5681,810.0
1330,1564.5681,807.0
1344,1564.5681,804.0
1354,1565.05,801.0
1365,1565.05,798.0
1386,1564.5681,795.0
1411,1565.05,792.0
1421,1571.7972,789.0
1435,1850.843,786.0
1454,1633.0042,783.0
1479,1568.4236,780.0
1494,1565.05,777.0
