Time,User,Target
25,1858.3984,1080.0
34,1858.1316,1860.0
43,1858.1316,1856.6527
55,1858.3984,1853.3054
63,1857.8646,1849.9583
73,1857.8646,1846.611
83,1858.1316,1843.2637
93,1858.1316,1839.9164
102,1857.8646,1836.5691
112,1858.3984,1833.2219
124,1858.1316,1829.8746
133,1857.8646,1826.5273
143,1858.1316,1823.18
153,1858.1316,1819.8328
163,1858.1316,1816.4855
173,1857.8646,1813.1383
184,1857.8646,1809.791
194,1857.8646,1806.4437
204,1858.1316,1803.0964
213,1858.1316,1799.7491
224,1858.1316,1796.402
232,1858.1316,1793.0547
244,1857.8646,1789.7074
254,1858.1316,1786.3601
263,1857.8646,1783.0128
273,1858.1316,1779.6656
285,1858.1316,1776.3184
294,1858.1316,1772.9711
303,1858.1316,1769.6238
313,1857.8646,1766.2765
323,1858.1316,1762.9292
334,1857.8646,1759.582
343,1858.1316,1756.2347
354,1857.8646,1752.8875
363,1857.8646,1749.5402
373,1857.8646,1746.1929
385,1858.1316,1742.8457
395,1857.8646,1739.4984
404,1858.1316,1736.1511
414,1858.1316,1732.8038
423,1858.1316,1729.4565
433,1857.8646,1726.1094
444,1858.1316,1722.7621
454,1858.1316,1719.4148
463,1857.8646,1716.0675
472,1858.1316,1712.7202
483,1858.1316,1709.373
493,1857.8646,1706.0258
503,1857.8646,1702.6785
513,1858.1316,1699.3312
523,1857.8646,1695.9839
532,1858.1316,1692.6367
544,1858.1316,1689.2894
553,1858.3984,1685.9421
564,1858.3984,1682.5948
573,1858.1316,1679.2476
585,1858.1316,1675.9004
594,1858.1316,1672.5531
603,1858.1316,1669.2058
612,1857.8646,1665.8585
624,1857.8646,1662.5112
633,1857.8646,1659.164
643,1857.8646,1655.8168
654,1857.8646,1652.4695
663,1858.1316,1649.1222
673,1858.1316,1645.7749
685,1858.1316,1642.4276
695,1858.1316,1639.0803
703,1858.1316,1635.7332
713,1858.1316,1632.3859
723,1858.1316,1629.0386
734,1858.1316,1625.6913
744,1858.3984,1622.344
755,1858.1316,1618.9968
763,1858.1316,1615.6495
774,1858.1316,1612.3022
783,1857.8646,1608.955
793,1858.1316,1605.6077
804,1858.1316,1602.2605
813,1857.8646,1598.9132
823,1857.8646,1595.5659
834,1858.3984,1592.2186
843,1858.1316,1588.8713
853,1857.8646,1585.5242
863,1857.8646,1582.1769
873,1858.1316,1578.8296
884,1858.3984,1575.4823
894,1857.8646,1572.135
902,1858.1316,1568.7878
914,1858.1316,1565.4406
923,1858.1316,1562.0933
934,1857.8646,1558.746
943,1857.8646,1555.3987
954,1858.1316,1552.0515
964,1858.1316,1548.7042
974,1857.8646,1545.3569
984,1858.1316,1542.0096
993,1858.1316,1538.6624
1004,1857.8646,1535.3151
1013,1857.8646,1531.9679
1023,1858.1316,1528.6206
1033,1857.8646,1525.2733
1042,1858.1316,1521.926
1053,1858.1316,1518.5787
1064,1858.1316,1515.2314
1073,1858.1316,1511.8843
1083,1858.1316,1508.537
1093,1858.1316,1505.1897
1103,1858.1316,1501.8424
1112,1857.8646,1498.4951
1124,1858.1316,1495.148
1134,1858.1316,1491.8007
1143,1857.8646,1488.4534
1153,1857.8646,1485.1061
1163,1858.1316,1481.7588
1173,1857.8646,1478.4116
1183,1858.1316,1475.0643
1193,1858.1316,1471.717
1201,1858.1316,1468.3698
1214,1858.1316,1465.0225
1223,1858.1316,1461.6753
1234,1857.8646,1458.328
1243,1857.5977,1454.9807
1253,1857.8646,1451.6334
1264,1858.1316,1448.2861
1273,1858.1316,1444.939
1282,1858.1316,1441.5917
1293,1858.3984,1438.2444
1303,1857.8646,1434.8971
1314,1858.1316,1431.5498
1324,1858.3984,1428.2026
1334,1858.3984,1424.8553
1344,1858.1316,1421.508
1355,1857.8646,1418.1608
1364,1857.8646,1414.8135
1373,1857.5977,1411.4663
1384,1858.1316,1408.119
1393,1858.1316,1404.7717
1403,1858.1316,1401.4244
1412,1858.1316,1398.0771
1423,1858.1316,1394.73
1433,1858.1316,1391.3827
1443,1858.1316,1388.0354
1452,1858.1316,1384.6881
1463,1858.1316,1381.3408
1473,1858.3984,1377.9935
1484,1858.1316,1374.6464
1494,1858.1316,1371.2991
1503,1858.1316,1367.9518
1513,1858.1316,1364.6045
1523,1857.8646,1361.2572
1534,1858.3984,1357.9099
1543,1858.1316,1354.5627
1552,1858.1316,1351.2155
1563,1858.1316,1347.8682
1572,1857.8646,1344.5209
1583,1858.1316,1341.1736
1593,1858.1316,1337.8264
1602,1858.1316,1334.4791
1612,1858.1316,1331.1318
1624,1858.1316,1327.7845
1633,1858.1316,1324.4373
1643,1857.8646,1321.0901
1653,1858.1316,1317.7428
1663,1857.8646,1314.3955
1672,1857.8646,1311.0482
1683,1858.1316,1307.7009
1693,1858.1316,1304.3538
1702,1858.1316,1301.0063
1713,1858.1316,1297.6592
1723,1858.1316,1294.3119
1734,1857.8646,1290.9646
1744,1858.1316,1287.6174
1753,1857.8646,1284.27
1764,1858.3984,1280.9229
1773,1857.8646,1277.5756
1784,1857.8646,1274.2283
1795,1858.1316,1270.8811
1803,1857.8646,1267.5337
1814,1858.1316,1264.1865
1824,1858.1316,1260.8392
