Time,User,Target
2229,1858.3984,1123.6013
2240,1857.8646,1120.254
2250,1858.3984,1116.9067
2258,1857.8646,1113.5596
2270,1858.3984,1110.2122
2279,1857.8646,1106.865
2288,1858.3984,1103.5177
2299,1858.1316,1100.1704
2308,1857.8646,1096.8232
2319,1857.8646,1093.4758
2328,1857.8646,1090.1287
2338,1858.1316,1086.7812
2350,1858.1316,1083.4341
2358,1858.1316,1080.0869
2367,1857.8646,1076.7395
2379,1857.8646,1073.3923
2390,1857.8646,1070.0449
2399,1858.1316,1066.6978
2409,1857.8646,1063.3506
2419,1858.1316,1060.0032
2429,1858.3984,1056.656
2437,1858.1316,1053.3086
2450,1858.3984,1049.9614
2458,1858.1316,1046.6143
2467,1858.1316,1043.2668
2479,1858.1316,1039.9197
2489,1858.1316,1036.5723
2497,1857.8646,1033.2251
2509,1858.1316,1029.8778
2518,1858.1316,1026.5305
2528,1858.1316,1023.1833
2538,1858.3984,1019.836
2546,1858.1316,1016.4888
2559,1858.1316,1013.1414
2569,1858.1316,1009.7942
2579,1858.1316,1006.44696
2589,1858.1316,1003.0997
2598,1858.1316,999.75244
2609,1858.1316,996.40515
2618,1858.1316,993.05786
2629,1858.1316,989.71063
2637,1858.1316,986.3633
2648,1857.8646,983.0161
2658,1858.3984,979.6688
2667,1858.1316,976.3215
2678,1857.8646,972.9743
2688,1858.1316,969.62695
2699,1858.1316,966.2798
2709,1857.8646,962.9325
2718,1857.8646,959.58514
2727,1857.8646,956.238
2738,1858.1316,952.8907
2750,1858.1316,949.54346
2760,1857.8646,946.19617
2768,1857.8646,942.8488
2779,1857.8646,939.50165
2789,1857.5977,936.15436
2799,1858.1316,932.8071
2808,1858.1316,929.45984
2818,1858.1316,926.1125
2828,1858.1316,922.7653
2839,1857.8646,919.418
2849,1857.8646,916.0708
2859,1858.1316,912.7235
2869,1858.1316,909.3762
2878,1858.1316,906.029
2889,1857.8646,902.6817
2899,1858.1316,899.33435
2909,1858.1316,895.98706
2919,1858.1316,892.6399
2929,1857.8646,889.29266
2940,1858.1316,885.9454
2949,1858.1316,882.5981
2959,1858.3984,879.25073
2968,1858.1316,875.90356
2979,1858.1316,872.5562
2989,1858.1316,869.20905
2998,1857.8646,865.86176
3009,1858.1316,862.5144
3017,1857.8646,859.16724
3028,1858.1316,855.8199
3038,1858.1316,852.4727
3048,1858.1316,849.1254
3058,1858.1316,845.7781
3069,1858.1316,842.4309
3079,1858.1316,839.0836
3089,1858.1316,835.7363
3098,1858.1316,832.38904
3109,1858.1316,829.04175
3119,1857.8646,825.6946
3129,1858.1316,822.3473
3138,1858.1316,819.0
3149,1857.8646,819.0
3157,1858.1316,819.0
3169,1857.8646,819.0
3178,1858.1316,819.0
3189,1858.1316,819.0
3197,1857.8646,819.0
3208,1858.1316,819.0
3219,1858.3984,819.0
3230,1857.8646,819.0
3238,1858.1316,819.0
3249,1858.1316,819.0
3259,1858.3984,819.0
3269,1857.8646,819.0
3279,1858.1316,819.0
3289,1857.8646,819.0
3299,1858.1316,819.0
3308,1858.1316,819.0
3318,1857.8646,819.0
3329,1857.8646,819.0
3339,1858.1316,819.0
3349,1858.3984,819.0
3359,1858.1316,819.0
3369,1858.1316,819.0
3377,1858.1316,819.0
3389,1858.1316,819.0
3399,1858.1316,819.0
3409,1858.1316,819.0
3419,1858.1316,819.0
3429,1857.8646,819.0
3439,1858.1316,819.0
3449,1858.1316,819.0
3457,1858.1316,819.0
3468,1857.8646,819.0
3479,1858.1316,819.0
3488,1858.1316,819.0
3498,1858.1316,819.0
3510,1858.1316,819.0
3519,1858.1316,819.0
3529,1858.1316,819.0
3538,1858.1316,819.0
3548,1858.1316,819.0
3558,1858.3984,819.0
3567,1858.1316,819.0
3580,1858.1316,819.0
3589,1858.3984,819.0
3599,1858.1316,819.0
3609,1857.8646,819.0
3618,1857.8646,819.0
3629,1858.1316,819.0
3639,1858.1316,819.0
3648,1857.8646,819.0
3659,1858.1316,819.0
3669,1858.3984,819.0
3678,1858.1316,819.0
3690,1858.1316,819.0
3699,1857.8646,819.0
3709,1857.8646,819.0
3718,1857.8646,819.0
3727,1857.8646,819.0
3738,1858.1316,819.0
3749,1858.1316,819.0
3757,1858.3984,819.0
3769,1857.8646,819.0
3778,1858.1316,819.0
3789,1858.1316,819.0
3798,1858.1316,819.0
3808,1858.3984,819.0
3817,1858.1316,819.0
3829,1858.1316,819.0
3839,1858.1316,819.0
3850,1858.1316,819.0
3858,1858.3984,819.0
3868,1858.1316,819.0
3879,1858.1316,819.0
3889,1858.1316,819.0
3901,1857.8646,819.0
3919,1858.3984,819.0
3935,1858.1316,819.0
3949,1858.3984,819.0
3961,1857.8646,819.0
3971,1858.1316,819.0
3981,1858.1316,819.0
3991,1858.1316,819.0
4003,1858.1316,819.0
4011,1857.8646,819.0
4022,1858.1316,819.0
4030,1858.1316,819.0
4041,1857.8646,819.0
4051,1858.1316,819.0
4059,1858.1316,819.0
4070,1858.1316,819.0
4081,1858.1316,819.0
4091,1858.1316,819.0
4101,1857.8646,819.0
4110,1857.8646,819.0
4119,1858.1316,819.0
4131,1858.1316,819.0
4141,1858.1316,819.0
4150,1858.1316,819.0
4160,1858.1316,819.0
4171,1858.1316,819.0
4180,1858.1316,819.0
4190,1858.1316,819.0
4200,1858.1316,819.0
4210,1858.3984,819.0
4221,1858.1316,819.0
4230,1857.8646,819.0
4239,1858.1316,819.0
4249,1857.8646,819.0
4260,1858.1316,819.0
4269,1858.1316,819.0
4281,1858.1316,819.0
4291,1858.1316,819.0
4301,1858.3984,819.0
4311,1857.8646,819.0
4321,1857.8646,819.0
4330,1858.1316,819.0
4339,1858.1316,819.0
4351,1858.1316,819.0
4361,1858.1316,819.0
4369,1858.1316,819.0
4380,1858.1316,819.0
4389,1858.1316,819.0
4399,1858.1316,819.0
4411,1857.8646,819.0
4420,1858.1316,819.0
4430,1857.8646,819.0
4439,1857.8646,819.0
4451,1858.1316,819.0
4460,1857.8646,819.0
4469,1858.1316,819.0
4482,1858.1316,819.0
4490,1858.1316,819.0
4500,1858.1316,819.0
4509,1858.1316,819.0
4521,1858.1316,819.0
4529,1857.8646,819.0
4540,1858.1316,819.0
4557,1858.1316,819.0
4567,1858.1316,819.0
4576,1857.8646,819.0
4586,1857.8646,819.0
4597,1858.1316,819.0
4607,1858.1316,819.0
4616,1857.8646,819.0
4627,1857.8646,819.0
4637,1857.8646,819.0
4647,1857.8646,819.0
4657,1858.1316,819.0
4667,1858.1316,819.0
4676,1858.1316,819.0
4687,1858.1316,819.0
4696,1858.1316,819.0
4707,1858.1316,819.0
4717,1857.8646,819.0
4726,1858.1316,819.0
4736,1857.8646,819.0
4746,1857.8646,819.0
4757,1858.1316,819.0
4766,1858.3984,819.0
4776,1858.1316,819.0
4788,1858.1316,819.0
4797,1858.1316,819.0
4806,1858.1316,819.0
4817,1858.1316,819.0
4827,1858.1316,819.0
4835,1858.3984,819.0
4847,1858.1316,819.0
4857,1858.1316,819.0
4866,1857.8646,819.0
4876,1858.1316,819.0
4887,1858.1316,819.0
4896,1857.8646,819.0
4906,1858.1316,819.0
4917,1857.8646,819.0
4927,1858.1316,819.0
4937,1857.8646,819.0
4945,1858.1316,819.0
4957,1857.8646,819.0
4968,1858.1316,819.0
4976,1858.1316,819.0
4986,1858.1316,819.0
4997,1858.1316,819.0
5007,1858.1316,819.0
5016,1857.8646,819.0
5025,1858.1316,819.0
5037,1858.1316,819.0
5047,1858.1316,819.0
5056,1858.1316,819.0
5067,1857.8646,819.0
5077,1858.1316,819.0
5087,1858.1316,819.0
5096,1858.1316,819.0
5106,1858.1316,819.0
5116,1858.1316,819.0
5127,1858.1316,819.0
5137,1857.8646,819.0
5145,1858.1316,819.0
5157,1858.1316,819.0
5166,1858.1316,819.0
5176,1857.8646,819.0
5186,1857.8646,819.0
5197,1857.8646,819.0
5207,1857.8646,819.0
5218,1857.8646,819.0
5228,1857.8646,819.0
5238,1858.3984,819.0
5246,1858.1316,819.0
5257,1857.8646,819.0
5266,1858.1316,819.0
5276,1857.8646,819.0
5288,1858.1316,819.0
5296,1857.8646,819.0
5307,1858.1316,819.0
5316,1858.1316,819.0
5326,1858.1316,819.0
5337,1857.8646,819.0
5346,1858.1316,819.0
5358,1858.1316,819.0
5367,1858.1316,819.0
5376,1857.8646,819.0
5387,1858.1316,819.0
5396,1858.1316,819.0
5406,1858.1316,819.0
5417,1857.8646,819.0
5427,1858.1316,819.0
5437,1857.8646,819.0
5446,1858.1316,819.0
5459,1858.1316,819.0
5467,1858.3984,819.0
5477,1858.1316,819.0
5487,1857.8646,819.0
5497,1858.1316,819.0
5507,1857.8646,819.0
5516,1858.1316,819.0
5526,1858.1316,819.0
5536,1857.8646,819.0
5547,1858.1316,819.0
5558,1858.1316,819.0
5566,1858.1316,819.0
5578,1858.1316,819.0
5587,1857.8646,819.0
