Time,User,Target
10,1858.1316,1080.0
20,1858.1316,1237.4084
31,1858.1316,1234.061
39,1857.8646,1230.7139
50,1857.8646,1227.3665
60,1858.1316,1224.0193
71,1858.1316,1220.6721
81,1858.1316,1217.3247
92,1857.8646,1213.9775
100,1858.1316,1210.6301
110,1858.1316,1207.283
121,1858.1316,1203.9358
131,1858.1316,1200.5884
140,1857.8646,1197.2412
151,1858.1316,1193.8938
160,1857.8646,1190.5466
169,1858.1316,1187.1995
181,1858.1316,1183.852
190,1858.1316,1180.5049
201,1858.3984,1177.1575
209,1858.1316,1173.8103
221,1858.1316,1170.463
230,1858.1316,1167.1157
240,1858.1316,1163.7686
249,1858.1316,1160.4211
261,1858.1316,1157.074
271,1857.5977,1153.7267
281,1858.1316,1150.3794
290,1857.8646,1147.0322
301,1858.1316,1143.6848
311,1857.8646,1140.3376
320,1857.8646,1136.9904
330,1858.3984,1133.6431
341,1858.1316,1130.2959
351,1858.1316,1126.9485
361,1857.8646,1123.6013
371,1857.8646,1120.254
380,1858.1316,1116.9067
390,1858.1316,1113.5596
402,1857.8646,1110.2122
410,1858.1316,1106.865
421,1858.1316,1103.5177
430,1857.8646,1100.1704
441,1857.8646,1096.8232
451,1858.1316,1093.4758
460,1858.1316,1090.1287
471,1857.8646,1086.7812
481,1857.8646,1083.4341
490,1858.1316,1080.0869
500,1858.1316,1076.7395
509,1857.8646,1073.3923
521,1858.1316,1070.0449
531,1858.3984,1066.6978
542,1858.1316,1063.3506
550,1858.1316,1060.0032
561,1858.3984,1056.656
570,1858.1316,1053.3086
582,1858.1316,1049.9614
591,1858.1316,1046.6143
601,1858.1316,1043.2668
611,1858.1316,1039.9197
622,1858.1316,1036.5723
631,1858.1316,1033.2251
641,1858.1316,1029.8778
651,1858.1316,1026.5305
661,1858.1316,1023.1833
671,1858.1316,1019.836
680,1857.8646,1016.4888
690,1858.1316,1013.1414
701,1858.1316,1009.7942
711,1858.1316,1006.44696
721,1858.1316,1003.0997
731,1857.8646,999.75244
741,1857.8646,996.40515
750,1858.1316,993.05786
761,1858.1316,989.71063
771,1857.8646,986.3633
782,1857.8646,983.0161
792,1858.1316,979.6688
801,1858.1316,976.3215
811,1858.1316,972.9743
821,1857.8646,969.62695
831,1858.3984,966.2798
840,1858.1316,962.9325
852,1858.1316,959.58514
862,1858.1316,956.238
872,1858.1316,952.8907
880,1858.1316,949.54346
892,1857.8646,946.19617
900,1857.8646,942.8488
912,1858.1316,939.50165
920,1857.8646,936.15436
932,1858.1316,932.8071
941,1857.8646,929.45984
951,1858.1316,926.1125
961,1858.1316,922.7653
971,1857.8646,919.418
979,1857.8646,916.0708
990,1858.3984,912.7235
1002,1858.1316,909.3762
1010,1858.1316,906.029
1021,1858.1316,902.6817
1031,1858.1316,899.33435
1042,1858.1316,895.98706
1050,1858.1316,892.6399
1059,1858.1316,889.29266
1070,1858.1316,885.9454
1079,1858.1316,882.5981
1089,1858.1316,879.25073
1099,1858.3984,875.90356
1109,1858.1316,872.5562
1120,1857.8646,869.20905
1131,1857.8646,865.86176
1140,1858.1316,862.5144
1150,1858.1316,859.16724
1160,1858.3984,855.8199
1170,1858.1316,852.4727
1181,1857.8646,849.1254
1191,1858.1316,845.7781
1201,1858.1316,842.4309
1211,1857.8646,839.0836
1221,1858.1316,835.7363
1231,1858.1316,832.38904
1242,1858.3984,829.04175
1251,1857.8646,825.6946
1261,1857.8646,822.3473
1271,1858.1316,819.0
1282,1858.1316,819.0
1291,1857.8646,819.0
1301,1857.8646,819.0
1310,1857.8646,819.0
1321,1858.1316,819.0
1331,1858.1316,819.0
1341,1857.8646,819.0
1351,1857.8646,819.0
1362,1858.3984,819.0
1372,1857.8646,819.0
1380,1858.1316,819.0
1392,1858.1316,819.0
1401,1857.8646,819.0
1410,1857.8646,819.0
1421,1858.1316,819.0
1431,1858.1316,819.0
1440,1858.1316,819.0
1451,1858.1316,819.0
1461,1857.8646,819.0
1472,1858.1316,819.0
1481,1858.1316,819.0
1491,1858.1316,819.0
1501,1857.8646,819.0
1511,1858.1316,819.0
1521,1858.3984,819.0
1532,1857.8646,819.0
1541,1858.1316,819.0
1550,1858.1316,819.0
1561,1858.1316,819.0
1571,1857.8646,819.0
1581,1857.8646,819.0
1591,1858.1316,819.0
1600,1858.1316,819.0
1609,1858.1316,819.0
1621,1857.8646,819.0
1630,1857.8646,819.0
1642,1858.1316,819.0
1650,1857.8646,819.0
1662,1858.1316,819.0
1672,1858.1316,819.0
1681,1857.8646,819.0
1691,1857.8646,819.0
1702,1858.1316,819.0
1711,1858.3984,819.0
1721,1858.3984,819.0
1732,1857.8646,819.0
1741,1858.1316,819.0
1750,1858.1316,819.0
1760,1857.8646,819.0
1771,1857.8646,819.0
1782,1858.1316,819.0
1791,1857.8646,819.0
1802,1857.8646,819.0
1812,1858.1316,819.0
1821,1858.1316,819.0
1831,1858.1316,819.0
1842,1857.8646,819.0
1851,1857.8646,819.0
1861,1857.8646,819.0
1871,1858.1316,819.0
1880,1858.1316,819.0
1892,1858.1316,819.0
1901,1858.1316,819.0
1911,1858.1316,819.0
1921,1858.1316,819.0
1930,1857.8646,819.0
1941,1858.1316,819.0
1951,1858.1316,819.0
1961,1857.8646,819.0
1971,1858.3984,819.0
1982,1857.8646,819.0
1991,1858.1316,819.0
2001,1858.1316,819.0
2012,1858.1316,819.0
2022,1858.1316,819.0
2030,1858.1316,819.0
2041,1858.3984,819.0
2052,1858.1316,819.0
2060,1858.1316,819.0
2070,1858.1316,819.0
2079,1858.1316,819.0
2090,1858.3984,819.0
2099,1857.8646,819.0
2111,1858.3984,819.0
2121,1858.1316,819.0
2130,1857.8646,819.0
2141,1858.1316,819.0
2152,1858.1316,819.0
2161,1858.1316,819.0
2171,1857.8646,819.0
2181,1857.8646,819.0
2192,1858.1316,819.0
2201,1857.8646,819.0
2211,1858.1316,819.0
2221,1858.1316,819.0
2232,1858.1316,819.0
2242,1858.1316,819.0
2252,1857.8646,819.0
2260,1858.1316,819.0
